id,found_id,required_sum,current_sum,closedFoundrisingAmount,philantrops_amount,creation_date,closing_date
1,143,$381160.95,$48324.17,68,52,5/21/2021,5/20/2022
2,73,$498036.22,$27339.95,5,30,6/5/2021,6/25/2022
3,910,$164829.12,$48223.89,48,59,2/11/2021,1/4/2022
4,176,$100033.09,$42252.66,28,11,1/2/2021,1/15/2022
5,31,$391343.24,$23429.40,31,7,4/28/2021,2/11/2022
6,424,$404910.14,$112.57,37,31,5/9/2021,2/14/2022
7,339,$125690.76,$42153.80,70,5,2/21/2021,11/23/2021
8,367,$176492.09,$49812.68,14,13,3/6/2021,7/30/2022
9,244,$237866.31,$24019.39,77,17,5/20/2021,3/31/2022
10,535,$160134.92,$23757.47,43,18,1/20/2021,1/14/2022
11,622,$496905.72,$29779.21,12,39,1/25/2021,4/13/2022
12,810,$139247.30,$37706.31,99,41,4/19/2021,2/3/2022
13,245,$370404.78,$19334.18,58,23,7/28/2021,11/23/2021
14,772,$470872.77,$45901.77,27,34,6/1/2021,8/19/2021
15,359,$302251.34,$30087.25,17,44,4/22/2021,10/15/2021
16,633,$380143.93,$45888.95,89,18,5/24/2021,1/18/2022
17,682,$339972.02,$14402.66,85,13,1/29/2021,3/21/2022
18,397,$241886.37,$46681.36,10,58,4/3/2021,7/27/2022
19,300,$169155.98,$43760.54,80,42,6/20/2021,2/17/2022
20,811,$93444.60,$44505.17,37,15,7/25/2021,1/9/2022
21,352,$460478.61,$19044.91,16,25,7/20/2021,4/12/2022
22,691,$395755.35,$13700.42,20,27,3/9/2021,8/10/2021
23,730,$468657.95,$33399.05,25,37,4/15/2021,10/17/2021
24,957,$364706.10,$7332.93,7,8,5/6/2021,6/30/2022
25,133,$151773.88,$48093.80,40,7,4/29/2021,12/6/2021
26,410,$121294.29,$45428.57,8,38,1/28/2021,10/12/2021
27,56,$488239.73,$38901.50,57,55,3/17/2021,7/4/2022
28,860,$444210.72,$30302.59,48,52,3/25/2021,7/19/2022
29,4,$475859.57,$1299.33,58,6,4/19/2021,8/18/2021
30,253,$273275.71,$23911.35,36,60,2/9/2021,6/18/2022
31,43,$462466.88,$25069.91,82,27,3/1/2021,5/20/2022
32,804,$384137.69,$16547.57,5,45,2/19/2021,12/21/2021
33,360,$133997.29,$35561.23,92,21,6/25/2021,1/8/2022
34,580,$416206.00,$17844.18,32,34,7/9/2021,12/14/2021
35,702,$93847.15,$42196.56,63,39,1/14/2021,5/9/2022
36,982,$446545.38,$29404.46,80,16,4/21/2021,6/25/2022
37,36,$108053.15,$3084.19,8,14,6/2/2021,3/6/2022
38,543,$478244.57,$15027.74,52,22,6/18/2021,1/29/2022
39,843,$110602.87,$12254.13,27,50,5/30/2021,1/23/2022
40,803,$117445.26,$45566.41,87,37,5/16/2021,2/6/2022
41,558,$159522.48,$14720.05,23,38,6/13/2021,1/2/2022
42,382,$355831.03,$18036.01,43,48,6/13/2021,8/27/2021
43,247,$211964.37,$35811.06,43,46,3/20/2021,11/15/2021
44,614,$426218.86,$39771.70,80,23,1/28/2021,7/20/2022
45,705,$342559.64,$33558.43,31,7,3/26/2021,4/6/2022
46,779,$438960.09,$47915.73,80,55,5/2/2021,12/13/2021
47,139,$99826.85,$33649.21,82,47,3/17/2021,12/31/2021
48,989,$125064.13,$42199.26,18,60,6/22/2021,5/27/2022
49,291,$87238.56,$43235.06,35,56,6/4/2021,10/3/2021
50,109,$329541.49,$14478.03,11,10,4/3/2021,3/27/2022
51,530,$329142.42,$34025.78,17,35,7/25/2021,2/24/2022
