id,found_id,description,required_sum,current_sum,philantrops_amount,creation_date,closing_date
788,660,"","$15,000.00",$531.14,41,2021-07-31,
181,908,"","$27,000.82","$9,632.18",56,2021-07-27,
512,241,"","$15,000.00","$2,041.76",55,2021-04-23,
351,359,"","$15,000.00","$1,069.95",62,2021-07-08,
131,84,"","$20,796.35","$9,139.84",42,2021-07-01,
178,882,"","$22,889.59","$5,098.35",45,2021-06-04,
197,602,"","$28,449.32",$154.11,26,2021-05-06,
128,45,"","$35,370.42","$9,168.38",45,2021-05-12,
162,133,"","$42,201.12","$2,913.81",55,2021-05-11,
761,470,"","$15,000.00","$7,161.63",60,2021-03-31,
120,953,"","$19,431.28","$8,315.74",20,2021-03-19,
164,403,"","$31,527.80","$9,536.00",47,2021-06-09,
166,546,"","$39,701.49","$5,621.93",34,2021-02-17,
130,708,"","$16,623.00","$5,220.37",29,2021-01-02,
203,210,"","$18,417.06","$1,972.33",6,2021-06-18,
223,122,"","$37,695.71","$1,111.51",9,2021-07-23,
259,433,"","$15,000.00","$7,548.64",20,2021-02-26,
153,298,"","$48,166.38",$432.24,14,2021-07-14,
195,94,"","$33,213.80","$6,782.97",49,2021-05-18,
585,555,"","$15,000.00","$5,792.83",53,2021-06-24,
208,9,"","$29,726.08","$8,616.70",47,2021-05-14,
160,261,"","$17,891.04","$7,238.11",58,2021-03-18,
146,436,"","$15,079.41","$1,379.27",54,2021-07-11,
159,517,"","$34,946.41","$7,471.09",39,2021-04-18,
209,977,"","$32,251.52",$193.87,36,2021-01-28,
179,70,"","$24,342.30",$390.17,37,2021-03-09,
185,990,"","$24,331.40","$6,407.23",32,2021-07-09,
204,97,"","$33,683.30","$4,778.48",19,2021-05-29,
193,640,"","$17,688.97","$5,691.73",30,2021-02-15,
217,954,"","$44,061.74","$4,183.10",47,2021-05-14,
189,64,"","$15,000.00","$3,627.39",52,2021-03-28,
104,745,"","$47,088.91","$6,915.32",53,2021-02-14,
210,430,"","$42,620.77","$7,675.26",34,2021-01-24,
167,478,"","$43,640.72","$4,600.09",16,2021-06-25,
211,63,"","$45,401.58","$1,806.55",53,2021-01-30,
574,258,"","$15,000.00","$2,753.57",31,2021-08-04,
161,734,"","$20,257.63","$8,748.23",10,2021-01-24,
173,239,"","$32,228.40","$7,562.41",30,2021-07-26,
187,810,"","$17,675.82","$2,690.80",58,2021-03-13,
206,433,"","$46,257.55","$8,086.87",29,2021-07-23,
191,286,"","$36,716.58","$3,430.25",36,2021-06-25,
123,701,"","$23,074.46","$7,129.46",12,2021-04-18,
145,881,"","$21,033.16","$1,929.22",13,2021-05-15,
174,119,"","$16,291.32","$3,731.40",32,2021-04-30,
820,711,"","$15,000.00",$927.17,12,2021-03-16,
143,319,"","$23,686.94","$3,551.01",53,2021-06-29,
148,458,"","$34,218.26","$4,382.20",50,2021-02-10,
134,959,"","$39,372.06","$3,697.34",55,2021-06-13,
176,406,"","$44,438.78","$2,318.15",43,2021-03-20,
119,159,"","$16,168.25","$3,449.07",31,2021-01-20,
156,477,"","$41,348.77","$9,583.43",13,2021-05-08,
188,36,"","$15,000.00",$202.39,62,2021-03-16,
109,724,"","$41,104.88","$1,513.43",48,2021-05-29,
140,258,"","$23,422.12","$2,761.26",17,2021-03-05,
149,613,"","$32,251.25","$8,249.12",51,2021-02-15,
113,256,"","$32,263.14","$5,763.13",39,2021-06-24,
880,942,"","$15,000.00","$4,539.47",19,2021-03-17,
158,177,"","$37,509.42","$2,684.86",32,2021-08-03,
184,815,"","$46,908.30","$7,242.71",43,2021-04-10,
183,246,"","$26,933.62","$5,996.94",40,2021-04-03,
115,706,"","$48,495.60","$8,080.10",43,2021-04-02,
127,764,"","$48,991.50",$41.59,53,2021-03-13,
212,517,"","$29,522.66","$9,485.82",30,2021-03-15,
114,454,"","$15,104.80",$878.38,12,2021-04-23,
280,205,"","$15,000.00","$7,428.48",25,2021-01-31,
165,900,"","$27,530.18",$904.89,60,2021-06-21,
207,816,"","$45,027.20","$5,648.19",55,2021-05-02,
105,514,"","$24,882.04","$9,821.02",6,2021-06-19,
220,449,"","$44,989.61","$3,160.08",43,2021-05-17,
139,326,"","$44,377.29","$3,735.02",29,2021-04-14,
201,924,"","$29,967.39",$315.76,56,2021-04-23,
524,43,"","$15,000.00","$5,000.35",59,2021-01-04,
163,918,"","$18,636.58","$7,162.64",5,2021-02-03,
135,354,"","$27,340.33","$6,627.65",35,2021-04-17,
154,553,"","$30,424.64","$6,963.33",20,2021-01-28,
147,719,"","$38,623.84","$2,549.00",54,2021-07-05,
363,797,"","$15,000.00","$5,882.37",25,2021-07-14,
222,781,"","$29,633.50","$1,910.36",62,2021-07-02,
219,357,"","$47,390.68","$5,973.36",31,2021-06-19,
218,255,"","$42,750.23","$7,025.93",7,2021-01-27,
192,826,"","$28,520.41","$2,973.99",32,2021-02-02,
132,497,"","$20,476.10","$6,225.44",17,2021-02-15,
136,287,"","$35,006.81","$2,569.23",7,2021-01-15,
171,20,"","$18,502.09","$7,749.89",51,2021-04-25,
124,814,"","$40,823.91","$4,838.95",36,2021-06-10,
214,198,"","$30,676.07","$5,825.93",45,2021-01-26,
813,892,"","$15,000.00","$1,346.64",51,2021-03-16,
152,759,"","$38,130.53","$5,466.07",34,2021-04-19,
118,516,"","$20,466.61","$5,361.78",11,2021-01-09,
151,369,"","$34,568.64","$5,105.93",12,2021-04-27,
150,678,"","$15,000.00",$234.57,34,2021-06-09,
122,295,"","$25,825.27","$1,010.32",41,2021-03-07,
116,395,"","$49,489.57","$2,233.59",10,2021-07-09,
177,41,"","$25,370.23","$4,067.48",31,2021-08-05,
126,99,"","$25,260.87","$2,307.40",29,2021-06-25,
172,220,"","$47,949.24","$2,945.06",36,2021-03-23,
111,458,"","$20,941.50","$8,557.00",60,2021-03-23,
106,692,"","$43,832.92","$9,333.37",12,2021-01-07,
328,625,"","$17,147.45","$5,614.38",32,2021-02-05,
246,293,"","$32,370.43","$1,527.02",48,2021-07-19,
237,787,"","$35,112.07","$5,793.94",59,2021-01-23,
261,648,"","$27,386.87","$7,603.18",52,2021-01-14,
333,793,"","$41,244.04","$5,495.28",56,2021-07-19,
281,464,"","$23,924.42","$8,518.32",11,2021-03-16,
244,417,"","$31,141.47","$8,560.41",19,2021-02-28,
314,395,"","$33,211.32","$6,175.06",61,2021-05-18,
