id,from_essence_type,from_id,to_essence_type,sum_of_money,comment,to_id
1,f,1,f,"$1,833.58",its donate from user with id = 1,680
2,f,2,f,"$1,360.19",its donate from user with id = 2,323
3,f,3,f,"$9,740.64",its donate from user with id = 3,102
4,f,4,f,"$2,679.47",its donate from user with id = 4,540
5,f,5,f,"$8,760.88",its donate from user with id = 5,849
6,f,6,f,"$4,169.20",its donate from user with id = 6,341
7,f,7,f,"$1,181.82",its donate from user with id = 7,734
8,f,8,f,"$1,857.31",its donate from user with id = 8,299
9,f,9,f,"$7,157.62",its donate from user with id = 9,840
10,f,10,f,"$5,781.69",its donate from user with id = 10,131
11,f,11,f,"$5,691.76",its donate from user with id = 11,653
12,f,12,f,"$3,399.55",its donate from user with id = 12,605
13,f,13,f,"$5,290.95",its donate from user with id = 13,742
14,f,14,f,"$9,942.81",its donate from user with id = 14,913
15,f,15,f,"$8,992.30",its donate from user with id = 15,808
16,f,16,f,"$9,301.38",its donate from user with id = 16,50
17,f,17,f,"$4,620.96",its donate from user with id = 17,276
18,f,18,f,"$4,570.45",its donate from user with id = 18,870
19,f,19,f,$919.20,its donate from user with id = 19,691
20,f,20,f,$746.23,its donate from user with id = 20,831
21,f,21,f,"$2,820.12",its donate from user with id = 21,974
22,f,22,f,"$5,090.72",its donate from user with id = 22,488
23,f,23,f,"$4,727.57",its donate from user with id = 23,287
24,f,24,f,"$7,559.96",its donate from user with id = 24,62
25,f,25,f,"$9,115.48",its donate from user with id = 25,233
26,f,26,f,"$1,409.59",its donate from user with id = 26,971
27,f,27,f,"$5,390.30",its donate from user with id = 27,793
28,f,28,f,"$3,231.92",its donate from user with id = 28,957
29,f,29,f,"$7,684.60",its donate from user with id = 29,247
30,f,30,f,"$4,826.98",its donate from user with id = 30,597
31,f,31,f,"$1,990.36",its donate from user with id = 31,836
32,f,32,f,"$6,406.38",its donate from user with id = 32,442
33,f,33,f,"$8,390.79",its donate from user with id = 33,389
34,f,34,f,"$2,069.14",its donate from user with id = 34,622
35,f,35,f,"$8,364.52",its donate from user with id = 35,401
36,f,36,f,"$1,456.34",its donate from user with id = 36,119
37,f,37,f,"$9,998.95",its donate from user with id = 37,421
38,f,38,f,"$7,410.93",its donate from user with id = 38,525
39,f,39,f,$874.36,its donate from user with id = 39,24
40,f,40,f,"$2,033.77",its donate from user with id = 40,531
41,f,41,f,"$6,243.05",its donate from user with id = 41,867
42,f,42,f,"$1,337.66",its donate from user with id = 42,457
43,f,43,f,"$6,110.93",its donate from user with id = 43,821
44,f,44,f,"$7,709.44",its donate from user with id = 44,228
45,f,45,f,"$9,436.95",its donate from user with id = 45,214
46,f,46,f,"$3,853.56",its donate from user with id = 46,492
47,f,47,f,"$7,985.80",its donate from user with id = 47,200
48,f,48,f,"$7,687.86",its donate from user with id = 48,133
49,f,49,f,"$6,746.60",its donate from user with id = 49,382
50,f,50,f,"$8,066.03",its donate from user with id = 50,858
51,f,51,f,"$5,932.87",its donate from user with id = 51,593
52,f,52,f,"$8,155.24",its donate from user with id = 52,577
53,f,53,f,"$9,002.88",its donate from user with id = 53,703
54,f,54,f,$564.28,its donate from user with id = 54,765
55,f,55,f,$298.36,its donate from user with id = 55,863
56,f,56,f,"$9,725.42",its donate from user with id = 56,93
57,f,57,f,"$9,575.25",its donate from user with id = 57,645
58,f,58,f,"$8,255.24",its donate from user with id = 58,603
59,f,59,f,"$7,067.54",its donate from user with id = 59,570
60,f,60,f,"$7,339.81",its donate from user with id = 60,253
61,f,61,f,"$2,567.83",its donate from user with id = 61,761
62,f,62,f,"$4,073.94",its donate from user with id = 62,747
63,f,63,f,"$8,997.46",its donate from user with id = 63,535
64,f,64,f,"$7,454.73",its donate from user with id = 64,844
65,f,65,f,"$9,059.08",its donate from user with id = 65,436
66,f,66,f,"$4,856.77",its donate from user with id = 66,866
67,f,67,f,"$7,455.27",its donate from user with id = 67,297
68,f,68,f,"$5,236.85",its donate from user with id = 68,705
69,f,69,f,"$6,260.87",its donate from user with id = 69,547
70,f,70,f,"$1,534.46",its donate from user with id = 70,994
71,f,71,f,$414.43,its donate from user with id = 71,945
72,f,72,f,"$2,610.61",its donate from user with id = 72,585
73,f,73,f,"$9,747.42",its donate from user with id = 73,275
74,f,74,f,"$8,671.10",its donate from user with id = 74,946
75,f,75,f,"$6,119.62",its donate from user with id = 75,546
76,f,76,f,"$3,314.43",its donate from user with id = 76,272
77,f,77,f,"$8,295.95",its donate from user with id = 77,647
78,f,78,f,"$2,489.62",its donate from user with id = 78,914
79,f,79,f,"$6,917.81",its donate from user with id = 79,975
80,f,80,f,"$3,497.30",its donate from user with id = 80,38
81,f,81,f,"$2,089.24",its donate from user with id = 81,520
82,f,82,f,"$5,678.15",its donate from user with id = 82,584
83,f,83,f,"$1,564.40",its donate from user with id = 83,940
84,f,84,f,"$2,588.52",its donate from user with id = 84,157
85,f,85,f,"$9,164.84",its donate from user with id = 85,953
86,f,86,f,"$7,034.76",its donate from user with id = 86,471
87,f,87,f,"$7,631.23",its donate from user with id = 87,491
88,f,88,f,"$3,555.45",its donate from user with id = 88,209
89,f,89,f,"$5,349.48",its donate from user with id = 89,934
90,f,90,f,"$1,795.61",its donate from user with id = 90,727
91,f,91,f,"$7,610.87",its donate from user with id = 91,319
92,f,92,f,"$7,383.61",its donate from user with id = 92,136
93,f,93,f,"$9,991.48",its donate from user with id = 93,663
94,f,94,f,"$6,888.14",its donate from user with id = 94,643
95,f,95,f,"$6,160.24",its donate from user with id = 95,884
96,f,96,f,"$2,079.54",its donate from user with id = 96,756
97,f,97,f,"$2,125.98",its donate from user with id = 97,800
98,f,98,f,"$3,941.49",its donate from user with id = 98,48
99,f,99,f,$223.31,its donate from user with id = 99,314
100,f,100,f,"$3,403.11",its donate from user with id = 100,99
101,f,101,f,$817.30,its donate from user with id = 101,855
102,f,102,f,"$9,173.72",its donate from user with id = 102,919
103,f,103,f,"$1,039.94",its donate from user with id = 103,60
104,f,104,f,"$3,981.09",its donate from user with id = 104,181
105,f,105,f,"$8,125.26",its donate from user with id = 105,208
106,f,106,f,"$7,095.62",its donate from user with id = 106,303
107,f,107,f,"$1,123.80",its donate from user with id = 107,838
108,f,108,f,"$5,934.84",its donate from user with id = 108,754
109,f,109,f,"$9,765.41",its donate from user with id = 109,875
110,f,110,f,"$6,535.08",its donate from user with id = 110,114
111,f,111,f,"$3,376.69",its donate from user with id = 111,648
112,f,112,f,"$5,407.20",its donate from user with id = 112,493
113,f,113,f,"$3,559.40",its donate from user with id = 113,544
114,f,114,f,"$9,581.44",its donate from user with id = 114,699
115,f,115,f,"$4,401.16",its donate from user with id = 115,361
116,f,116,f,"$7,191.17",its donate from user with id = 116,543
117,f,117,f,"$8,021.30",its donate from user with id = 117,71
118,f,118,f,"$8,050.73",its donate from user with id = 118,116
119,f,119,f,"$5,320.53",its donate from user with id = 119,737
120,f,120,f,"$5,337.78",its donate from user with id = 120,313
121,f,121,f,"$9,706.74",its donate from user with id = 121,685
122,f,122,f,"$2,057.55",its donate from user with id = 122,927
123,f,123,f,"$1,850.74",its donate from user with id = 123,430
124,f,124,f,$205.15,its donate from user with id = 124,320
125,f,125,f,"$9,914.42",its donate from user with id = 125,900
126,f,126,f,"$5,743.68",its donate from user with id = 126,245
127,f,127,f,"$4,370.90",its donate from user with id = 127,252
128,f,128,f,"$5,752.18",its donate from user with id = 128,109
129,f,129,f,"$2,214.51",its donate from user with id = 129,892
130,f,130,f,$434.91,its donate from user with id = 130,610
131,f,131,f,"$5,672.48",its donate from user with id = 131,748
132,f,132,f,"$3,731.81",its donate from user with id = 132,446
133,f,133,f,$135.51,its donate from user with id = 133,434
134,f,134,f,$672.50,its donate from user with id = 134,794
135,f,135,f,"$4,307.34",its donate from user with id = 135,777
136,f,136,f,"$4,796.77",its donate from user with id = 136,385
137,f,137,f,"$6,548.61",its donate from user with id = 137,128
138,f,138,f,$374.05,its donate from user with id = 138,438
139,f,139,f,"$2,727.18",its donate from user with id = 139,689
140,f,140,f,$990.43,its donate from user with id = 140,518
141,f,141,f,"$9,869.88",its donate from user with id = 141,879
142,f,142,f,"$5,482.12",its donate from user with id = 142,902
143,f,143,f,"$5,165.30",its donate from user with id = 143,134
144,f,144,f,"$2,199.77",its donate from user with id = 144,822
145,f,145,f,"$3,811.54",its donate from user with id = 145,365
146,f,146,f,"$4,625.11",its donate from user with id = 146,730
147,f,147,f,"$9,338.35",its donate from user with id = 147,651
148,f,148,f,"$3,320.06",its donate from user with id = 148,32
149,f,149,f,"$3,210.12",its donate from user with id = 149,642
150,f,150,f,"$8,832.82",its donate from user with id = 150,57
151,f,151,f,"$7,567.56",its donate from user with id = 151,124
152,f,152,f,"$8,580.28",its donate from user with id = 152,198
153,f,153,f,"$5,637.80",its donate from user with id = 153,169
154,f,154,f,"$9,604.30",its donate from user with id = 154,441
155,f,155,f,"$6,020.43",its donate from user with id = 155,162
156,f,156,f,$291.71,its donate from user with id = 156,959
157,f,157,f,"$8,454.91",its donate from user with id = 157,527
158,f,158,f,"$5,490.96",its donate from user with id = 158,781
159,f,159,f,"$4,856.08",its donate from user with id = 159,56
160,f,160,f,"$6,684.73",its donate from user with id = 160,612
161,f,161,f,"$7,336.42",its donate from user with id = 161,9
162,f,162,f,"$6,074.72",its donate from user with id = 162,129
163,f,163,f,"$7,268.95",its donate from user with id = 163,943
164,f,164,f,"$4,549.19",its donate from user with id = 164,308
165,f,165,f,"$8,943.41",its donate from user with id = 165,710
166,f,166,f,"$2,444.26",its donate from user with id = 166,54
167,f,167,f,$122.86,its donate from user with id = 167,371
168,f,168,f,"$5,252.26",its donate from user with id = 168,487
169,f,169,f,"$4,182.26",its donate from user with id = 169,881
170,f,170,f,"$5,187.99",its donate from user with id = 170,675
171,f,171,f,"$4,464.36",its donate from user with id = 171,810
172,f,172,f,"$9,147.49",its donate from user with id = 172,176
173,f,173,f,"$5,114.16",its donate from user with id = 173,284
174,f,174,f,"$5,663.56",its donate from user with id = 174,528
175,f,175,f,"$4,165.90",its donate from user with id = 175,464
176,f,176,f,"$3,559.82",its donate from user with id = 176,796
177,f,177,f,$433.06,its donate from user with id = 177,568
178,f,178,f,"$9,556.48",its donate from user with id = 178,194
179,f,179,f,"$7,909.07",its donate from user with id = 179,459
180,f,180,f,"$2,109.97",its donate from user with id = 180,548
181,f,181,f,"$7,549.44",its donate from user with id = 181,285
182,f,182,f,"$2,735.09",its donate from user with id = 182,3
183,f,183,f,$799.87,its donate from user with id = 183,908
184,f,184,f,"$9,821.46",its donate from user with id = 184,216
185,f,185,f,"$1,909.88",its donate from user with id = 185,79
186,f,186,f,"$4,015.20",its donate from user with id = 186,885
187,f,187,f,"$2,396.66",its donate from user with id = 187,497
188,f,188,f,"$3,727.95",its donate from user with id = 188,76
189,f,189,f,"$4,112.06",its donate from user with id = 189,7
190,f,190,f,"$8,638.99",its donate from user with id = 190,700
191,f,191,f,"$3,971.29",its donate from user with id = 191,125
192,f,192,f,"$2,819.62",its donate from user with id = 192,483
193,f,193,f,"$8,408.32",its donate from user with id = 193,791
194,f,194,f,"$4,975.21",its donate from user with id = 194,837
195,f,195,f,"$7,926.15",its donate from user with id = 195,949
196,f,196,f,"$6,226.02",its donate from user with id = 196,750
197,f,197,f,"$3,891.41",its donate from user with id = 197,819
198,f,198,f,"$3,292.07",its donate from user with id = 198,559
199,f,199,f,"$5,632.89",its donate from user with id = 199,335
200,f,200,f,"$9,937.03",its donate from user with id = 200,47
201,f,201,f,"$8,516.81",its donate from user with id = 201,555
202,f,202,f,"$9,563.38",its donate from user with id = 202,22
203,f,203,f,"$4,405.99",its donate from user with id = 203,31
204,f,204,f,"$6,319.78",its donate from user with id = 204,929
205,f,205,f,"$2,865.21",its donate from user with id = 205,504
206,f,206,f,"$8,239.77",its donate from user with id = 206,511
207,f,207,f,"$4,950.15",its donate from user with id = 207,35
208,f,208,f,"$4,741.56",its donate from user with id = 208,676
209,f,209,f,"$3,328.78",its donate from user with id = 209,16
210,f,210,f,"$6,870.13",its donate from user with id = 210,552
211,f,211,f,$829.14,its donate from user with id = 211,960
212,f,212,f,"$1,260.20",its donate from user with id = 212,686
213,f,213,f,"$9,849.69",its donate from user with id = 213,120
214,f,214,f,"$2,654.13",its donate from user with id = 214,549
215,f,215,f,"$6,575.48",its donate from user with id = 215,952
216,f,216,f,"$8,950.96",its donate from user with id = 216,118
217,f,217,f,$59.44,its donate from user with id = 217,991
218,f,218,f,$123.27,its donate from user with id = 218,591
219,f,219,f,"$1,584.28",its donate from user with id = 219,108
220,f,220,f,"$7,590.12",its donate from user with id = 220,70
221,f,221,f,"$1,121.19",its donate from user with id = 221,147
222,f,222,f,"$6,524.12",its donate from user with id = 222,958
223,f,223,f,"$9,556.35",its donate from user with id = 223,564
224,f,224,f,"$3,793.49",its donate from user with id = 224,687
225,f,225,f,"$1,458.57",its donate from user with id = 225,144
226,f,226,f,"$7,869.56",its donate from user with id = 226,594
227,f,227,f,"$6,146.62",its donate from user with id = 227,449
228,f,228,f,"$6,496.98",its donate from user with id = 228,498
229,f,229,f,"$9,505.30",its donate from user with id = 229,235
230,f,230,f,"$4,549.68",its donate from user with id = 230,45
231,f,231,f,"$3,767.45",its donate from user with id = 231,567
232,f,232,f,"$5,920.88",its donate from user with id = 232,576
233,f,233,f,$923.36,its donate from user with id = 233,466
234,f,234,f,"$5,739.93",its donate from user with id = 234,932
235,f,235,f,"$3,161.88",its donate from user with id = 235,609
236,f,236,f,"$2,440.27",its donate from user with id = 236,903
237,f,237,f,"$7,254.51",its donate from user with id = 237,217
238,f,238,f,"$2,675.03",its donate from user with id = 238,393
239,f,239,f,"$2,255.27",its donate from user with id = 239,291
